
    # RESULTS OF JOYCE SCAN
#  37  CB=CA-CA=CB        0.000  180.000
#  first  row =CB=CA-CA=CB    
       0.000       15.2643
      10.000       15.2787
      20.000       15.3997
      30.000       15.8299
      40.000       16.8099
      50.000       18.5064
      60.000       20.9079
      70.000       23.7660
      80.000       26.6038
      90.000       28.7972
     100.000       29.7142
     110.000       28.8767
     120.000       26.1039
     130.000       21.5982
     140.000       15.9441
     150.000       10.0169
     160.000        4.8163
     170.000        1.2621
     180.000        0.0000
