
    # RESULTS OF JOYCE SCAN
#  37  CB=CA-CA=CB        0.000  180.000
#  first  row =CB=CA-CA=CB    
       0.000       11.8256
      10.000       12.4198
      20.000       14.1247
      30.000       16.7168
      40.000       19.8539
      50.000       23.1180
      60.000       26.0661
      70.000       28.2859
      80.000       29.4465
      90.000       29.3411
     100.000       27.9130
     110.000       25.2654
     120.000       21.6504
     130.000       17.4413
     140.000       13.0887
     150.000        9.0686
     160.000        5.8259
     170.000        3.7226
     180.000        2.9942
