#  coordinate   DE (kj/mol)
   -180.000         -0.0011
   -170.000          0.9047
   -160.000          3.5774
   -150.000          7.8701
   -140.000         13.4782
   -130.000         19.8188
   -120.000         25.8784
   -110.000         30.1974
   -100.000         31.6361
    -90.000         30.3601
    -80.000         27.3697
    -70.000         23.6572
    -60.000         20.0288
    -50.000         17.1224
    -40.000         15.3633
    -30.000         14.8434
    -20.000         15.2399
    -10.000         15.9251
      0.000         16.2481
