
    # RESULTS OF JOYCE SCAN
#  37  CB=CA-CA=CB        0.000  180.000
#  first  row =CB=CA-CA=CB    
       0.000       16.3578
      10.000       16.0197
      20.000       15.2520
      30.000       14.6840
      40.000       15.0439
      50.000       16.8196
      60.000       20.0046
      70.000       24.0330
      80.000       27.9306
      90.000       30.6196
     100.000       31.2585
     110.000       29.4927
     120.000       25.5336
     130.000       20.0601
     140.000       14.0008
     150.000        8.2941
     160.000        3.7095
     170.000        0.7702
     180.000       -0.2388
